Ref AMM,Detection Rule,Contract Address,Contract Name,Transactions,Transactions (More),Price-related Function,Price Oracle Contract Address,Price Oracle Contract Name,Line,Vulnerable (TP),Short Reason,Comments,Currently Vulnerable,Disclosure Progress
Uniswap,RT,0x60a02cd1e3443e8ab7825dccf8d7080eb78bca6f,Migrator2,0xb7b21b0bdfe3a34f7c8f1909ff231be65e33a4eda2194b359278c8f2779bb904,0xe9a354dc54d379fe432c8a2258ccc3d8fb213f28678555a91c28fd29b24da885,getReserves,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,UniswapV2Router02,435,N,From UniswapV2Router02 router (addLiquidity),"Two txs detected, both call getReserves inside addLiquidity.",N,N/A
Uniswap,RT,0xb780936cd722d8e755f167f1ae4f2551f84e9a3b,DSProxy -> Compound cuni,0xb808e20346c51d10f081099af90e6c18aa53dbf9c8881c99ab27dcf9788625da,,getReserves,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,UniswapV2Router02,N/A,N,"It operate on AMM pool, thus considered FP. Many entry point in SLP, UniswapV2",,N,N/A
Uniswap,RT,0xf6b366a9a248e298e28afebe4b20e25548e4ee33,Proxy -> OneInchExchange,0xcbdd4e1938edc7b6a4291cd2b4db352c808beebf7485fe9c501e8d42f54d7dd9,,getReserves,0x11111254369792b2ca5d084ab5eea397ca8fa48b,OneInchExchange,770,N,Seems to be a arbitrage bot. FN since it operate on the pool directly,,N,N/A
Uniswap,RT,0xd38b3bbde24931ba52d306fd3ad8939807f14de9,SushiLPStrategy,0xd985d7672e1cfc2f640a3e1d5e826d0bd9aaeb4d28ae3b4c1fbae9b033d2e4d0,,getReserves,0x06da0fd433c1a5d7a4faa01111c044910a184553,UniswapV2Router02,451,N,From UniswapV2Router02,,N,N/A
Uniswap,RT,0x84be8517aa1ac3027b89a83e64b8c039c71b9176,WarpVaultLP,0xe16b8eb01f13aa897fb5329401a7ca475fea87addd8e523ceaf2df3d785b5859,0xf85ab7297fcdcb6e9c44e3ecbd9665d4eca51c6d6d067b06e607d3b374eb5b00,getReserves,0xff426bb249c53282c6ef6f1973b07f175362e0e8,UniswapLPOracleFactory.getUnderlyingPrice,1380,Y,Vulnerable calculation of LP_value,,N,N/A
Uniswap,RR,0xdbb451fbf9fc47fbb5b9c6b1c1c8c99ddf4a4bf4,UniswapV2Router02,0x8c0992366d168389f757d4149fb207ae6e616fde7ec9fec6f164dd04900e1a6f,,getReserves,0xdbb451fbf9fc47fbb5b9c6b1c1c8c99ddf4a4bf4,UniswapV2Router02,384,N,Direct operation on AMM (add liquidity),This is an Uniswap-like router.,N,N/A
Uniswap,RR,0x8f9a39119a066e196752ad495f4703fc5c6e2b8d,KingSwapRouter,0x46e2e5ca878fd9c625cc08c0e59853d109d7569b0dd3621dfe5b31f45cdb7b95,0x9a5c07c411d61a931004df09e8e8c573e28054bb4a7f7919a29ec7a1096799b9,getReserves,0x8f9a39119a066e196752ad495f4703fc5c6e2b8d,KingSwapRouter,45,N,Direct operation on AMM (add liquidity),This is an Uniswap-like router.,N,N/A
Uniswap,RR,,,,,getReserves,,,,Y,Stake amount depends on AMM state,,Y,Contacting admin
Uniswap,"RT, RR",,,,,getReserves,,,,Y,Mint an NFT depends on Uniswap pool state,Price oralce is closed source.,Y,Contacting admin
Kyber,RT,,,,,getExpectedRate,,,,Y,Number of minted tokens depend on Kyber state,Get ETH/USDT price to calculate the amount of minted tokens.,Y,Contacting admin
Kyber,RT,0x0be7bad74aee0af0220cfb6d46b6ee24799c028d,UserWallet,0x6c0f6be13346ce7bc257e19a8b58aefe7e9bc9f0d603c983487ef8a994d16a8e,,N/A,N/A,N/A,N/A,N,Not calling getExpectedRate,INVALID,N,N/A
Kyber,RT,0xed0da07aab7257df53efc4dfc076745744138ed9,TokenExchanger,0x93cd50709f7a11f3f1da718631ec77c8a65441f499a57df231ee3a3f3bdccf0e,,getExpectedRate,0xed0da07aab7257df53efc4dfc076745744138ed9,TokenExchanger,1103,N,Direct operation on AMM (swap),,N,N/A
Kyber,RT,0xd8ee69652e4e4838f2531732a46d1f7f584f0b7f,bZxProtocol,0xe7fa447e6aaa1b37e4bbe98195eadd03ddc34081ed94e07fec6eeb30844e71e1,,getExpectedRate,0xd16583c912bda99c2919256c58e19dcbdf55e7b6,SwapsImplKyber,1019,N,Direct operation on AMM (swap),,N,N/A
